timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status,rawline,motion_mean,motion_std,motion_3mean,motion_3std,motion_median,motion_domfreq,vibration_mean,vibration_std,vibration_3mean,vibration_3std,vibration_median,vibration_domfreq,svm_mean,svm_std
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL,PIR: 0 | Vibration: 0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.1705872210923198,0.09,0.5117616632769594,0.0,0.37,0.03,0.1705872210923198
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT,PIR: 0 | Vibration: 1,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.19595917942265423,0.12,0.5878775382679626,0.0,0.27,0.04,0.19595917942265423
