timestamp,motion_raw,motion_state,vibration_raw,vibration_state,status
2025-09-10 21:42:24,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:24,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:25,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:26,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:27,0,LOW,0,LOW,NORMAL
2025-09-10 21:42:28,0,LOW,1,HIGH,ALERT
2025-09-10 21:42:28,0,LOW,0,LOW,NORMAL
